true_$\alpha$ (Shape),true_$\lambda$ (Loss Aversion),true_$a$ (Learning Rate),true_$c$ (Consistency),kl_div_$\alpha$ (Shape),post_std_$\alpha$ (Shape),ess_$\alpha$ (Shape),kl_div_$\lambda$ (Loss Aversion),post_std_$\lambda$ (Loss Aversion),ess_$\lambda$ (Loss Aversion),kl_div_$a$ (Learning Rate),post_std_$a$ (Learning Rate),ess_$a$ (Learning Rate),kl_div_$c$ (Consistency),post_std_$c$ (Consistency),ess_$c$ (Consistency),post_corr_$\alpha$ (Shape)_$\lambda$ (Loss Aversion),post_corr_$\alpha$ (Shape)_$a$ (Learning Rate),post_corr_$\alpha$ (Shape)_$c$ (Consistency),post_corr_$\lambda$ (Loss Aversion)_$a$ (Learning Rate),post_corr_$\lambda$ (Loss Aversion)_$c$ (Consistency),post_corr_$a$ (Learning Rate)_$c$ (Consistency),max_post_corr,mean_kl_div,min_ess
0.019371518866990962,2.031519656136959,0.38356788738155073,2.794945379181694,1.5743874354417144,0.056213837652919846,397.354304166003,0.8396646344663675,0.5591594412794267,430.90202484398014,1.3115959908815322,0.06502053242152805,503.3065122673833,0.6397190233626016,0.6497796869116548,300.9270532835777,-0.22424486830224918,-0.44502884080979577,-0.6414677846685779,-0.38597043565133166,-0.39964062802197364,0.3598873136969159,0.6414677846685779,1.0913417710380537,300.9270532835777
0.17247624580030474,1.8721158572332017,0.13852341583862784,3.2606549472237907,2.076071717576743,0.03561880288520009,354.08217167036906,0.6032253419095783,0.6777475186508386,457.9588311921266,2.087374768420947,0.030214468015098327,415.06888227249755,0.8376617142421067,0.5698081837474994,384.5796333732921,-0.45272230989773093,-0.3298122438183724,-0.3973240520837971,-0.23660760677647136,-0.18707265133407186,-0.08752248238120021,0.45272230989773093,1.401083385537344,354.08217167036906
0.3552316750365121,2.967786790149256,0.7488290995600974,2.8391328901066752,0.1930663922952271,0.2202167824925219,290.27631590436243,0.27059690323360597,1.0166630429831849,255.20454348378593,0.3334087574937198,0.1906492088760958,274.65604270295694,0.03801997962607051,1.291115656796344,296.0775688339953,0.10937056473904783,-0.9228876021064167,-0.14857627577731075,-0.33428814024378917,-0.041366598884910025,0.11292160083589643,0.9228876021064167,0.20877300816215583,255.20454348378593
0.24496201315674163,3.6457255562933977,0.8940188627515993,2.3439607877829394,0.9952563937529769,0.10482520379553262,283.428570860529,0.2768444725252799,1.0157103032866215,266.5513942420048,1.0584484930974836,0.09171475985858325,284.2473965904147,0.06522069834702848,1.2312780575850089,263.61974690093723,-0.46066516350995496,-0.6526104858228396,-0.7086131141419092,0.04709855635229355,-0.015532500638018946,0.5088082690370067,0.7086131141419092,0.5989425144306921,263.61974690093723
0.2809341154702506,3.4520447139848116,0.8387812711848543,4.219979946483809,0.48279923295524646,0.15736509190107753,276.2648729543138,0.21280979028094227,1.1103906613277006,263.8281388751948,0.8430419202156281,0.11753758054628081,315.6277165721623,0.0360254172961445,1.3086995113305828,284.7846150733523,-0.41045814755324406,-0.6393786242681274,-0.6451834741106605,-0.1868191733949703,-0.005266987383011426,0.4362005897987698,0.6451834741106605,0.3936690901869903,263.8281388751948
0.5436676442559122,2.0838999658563724,0.2577900895584904,1.7307986492513376,0.9032659275955901,0.09939788324282788,334.9704176524496,0.9261245997297272,0.5415282937793673,316.02472366193786,0.9941727765085663,0.09032980516081748,340.7867173571852,0.2629194074751804,1.0194495966647479,316.5737625175009,0.5923188189515229,-0.9802262266670408,-0.5832367754195158,-0.6132959288809875,-0.638645470700648,0.5934174688468108,0.9802262266670408,0.771620677827266,316.02472366193786
0.6178661103639437,2.9079520593773296,0.6079292391423466,2.3032141920872173,0.33985488546273684,0.18714944931422672,327.0604106302481,0.30084637454293817,0.9833554522032443,239.58655631597284,0.5874367484482889,0.1435168463381912,316.39159322578263,0.019289526165900073,1.3271518105212816,298.5060819406844,-0.0869820518080936,-0.883783460264968,-0.1657722082999439,-0.27858265707080987,0.01915071743129552,0.12398270786360364,0.883783460264968,0.31185688365496594,239.58655631597284
0.6446811543403026,2.5561164446533255,0.06789211018313963,4.39402079054474,0.8415905247480172,0.10414098478989701,395.7731332295708,1.914784129517719,0.180451555335497,438.11873204444635,1.328946106878797,0.06703184821743564,402.1171983565993,0.5092929815228158,0.8071447703357147,386.6300015977681,0.40384970080448385,-0.9500912850586333,-0.011894447634983764,-0.5383968175773464,-0.05624025022811061,0.027529581719605702,0.9500912850586333,1.1486534356668372,386.6300015977681
0.7789743289544323,3.9011215572139717,0.7139723950640764,4.937456170643425,0.36430136421272424,0.18527490154811524,297.95068074281994,0.27449891864484854,1.0227691672974055,293.35591017092895,0.6303364151736796,0.14236477138362127,276.1141870126447,0.0139468139576584,1.3643586365513567,290.44870909623387,-0.12453917675395433,-0.397599852397834,-0.08500498538809317,-0.16014085772625952,-0.0014835639076242614,0.012655037495532881,0.397599852397834,0.3207708779972277,276.1141870126447
0.8807880196787673,3.3084715092866595,0.3008999595697612,1.1262488986033676,0.18662799157523086,0.22596153611956682,280.25997867439594,0.3048200046024885,0.9775390932669369,292.8822001537329,0.34017264400536884,0.1913345857171496,268.57983845611443,0.04485468759040767,1.2965612274504286,305.23765747546815,0.1357764526710666,-0.933886240551584,-0.2530932790657222,-0.3402186159702374,-0.03983743459705773,0.2034640237948489,0.933886240551584,0.21911883194337395,268.57983845611443
0.8155236463943574,1.5025066117472956,0.4324343739979054,1.0197265570149403,0.44675477842317196,0.16645725473359793,365.6568375201231,1.6687526243226825,0.23643906224127595,376.08877336867124,0.30752729109244803,0.18419624870550272,368.15341901261814,0.1155293695433044,1.3140525740512596,369.75796279948054,0.5943090760331929,-0.7158947676714149,-0.7575736250240878,-0.926324056244438,-0.33777862349902615,0.43062390033906134,0.926324056244438,0.6346410158454018,365.6568375201231
0.3749115340189138,0.7682422585609096,0.8136064513972735,4.835912427613881,0.8456091551602982,0.11975352980103851,278.39684909763633,2.219580863361521,0.13296364118086154,288.9973019212906,0.464350510803281,0.15544460067560786,423.8189047603234,0.019922777837215522,1.3139921103494823,251.8050811692381,-0.40892281576989675,-0.266702980356704,-0.8578881196928624,-0.713964805216686,0.47555741159221726,0.12353530597008397,0.8578881196928624,0.8873658267905788,251.8050811692381
0.6432949034377774,4.620957476593605,0.20602090879549645,0.9056071028633914,0.44815166062030926,0.18174606290857914,204.71123835083554,0.47106386023434976,0.8059130082984811,236.71145135664372,0.6018879621690513,0.1833988212233162,207.7891745583213,0.6820379967250103,0.848529884521313,228.20434130200104,0.3187800229509671,-0.9808691235031823,-0.6140181531722699,-0.3385783675192412,-0.37641020269193415,0.6437286428756365,0.9808691235031823,0.5507853699371802,204.71123835083554
0.566088656712661,3.0308063116568835,0.8689968566545323,1.704358960092323,0.4122899411390813,0.18207284150257041,327.0457764632443,0.1969937764136298,1.1161732313436485,298.89666788815606,0.6742039155442322,0.14169982168791478,273.9687641657313,0.021598267482156652,1.33287058230947,262.6273529451431,-0.09348318497368956,-0.3613093239924909,-0.1282313879635958,-0.2080612379710204,-0.06934821217874218,-0.003177085524149137,0.3613093239924909,0.326271475144775,262.6273529451431
0.8469567338221704,3.1752198143219506,0.5674268018871355,0.033317158424319565,0.8081091249204785,0.11643345780605266,225.29899907277246,0.5116272693784931,0.8090497835929208,315.2364521914702,0.4385601730092254,0.15929142040955113,313.2979958871183,3.7426637157310463,0.03712455576025182,243.50733557722165,-0.05011605020379416,-0.36397696984292843,-0.8234248959559441,-0.25967296420503677,-0.1110154611100725,0.03667383077863083,0.8234248959559441,1.3752400707598107,225.29899907277246
0.20516418235386766,0.6044262690261266,0.8261041625458362,0.9375126786932434,0.8650839545619825,0.10155384403700239,323.9361014141831,1.3536462675715462,0.39886498178584084,327.09172810522807,0.6233771055409059,0.13044262532690584,386.09495322699433,1.342712811919519,0.3894971061833686,276.5230334814129,-0.14737666306092023,-0.3565008226448572,-0.7536612912016322,-0.20350113332472444,-0.33953912854602586,0.22726501825441503,0.7536612912016322,1.0462050348984884,276.5230334814129
0.5903433056107035,3.5630388272925746,0.12749218191071474,3.096588242975584,1.5692486627741802,0.05443886622191217,381.0956609371328,0.5590594141924634,0.7488718023041029,346.830021095994,1.7882896726482997,0.045550583393667514,405.79475693013217,0.2814704925392286,0.9983583352015303,369.9786517051798,-0.1682388213158653,-0.9216933292948902,0.15739417414619064,-0.07190081852265316,-0.17162442043224704,-0.16282378581506346,0.9216933292948902,1.0495170605385429,346.830021095994
0.7366004433750699,3.089421034852295,0.7653673754901777,3.739000306448582,0.3706397443296156,0.18749109829391014,245.51146444142276,0.27700429735683874,1.0303255326380587,287.9884386768511,0.6346096054786059,0.14663100357107633,257.5646323985153,0.0006681614702088723,1.3791461229376105,250.25937912713172,-0.15939747784726768,-0.3716658561946127,-0.2248118664686469,-0.16270054436050332,-0.058202687905019944,-0.05325726804590518,0.3716658561946127,0.3207304521588173,245.51146444142276
0.7072447967477465,4.346015719552837,0.5935228028572782,4.1915000108030265,0.379654514172,0.18667130931772796,292.80089755395113,0.2420632526683053,1.046327723745839,293.3194725104854,0.6121557197221104,0.1468489583470963,283.88686673898223,0.006920624540341258,1.3667627509323237,271.51136126319693,-0.1048797525606317,-0.41564462161048765,-0.1328126296220735,-0.2722515698843019,-0.05262282861797145,-0.0009625430230455804,0.41564462161048765,0.31019852777568924,271.51136126319693
0.9772934217981097,4.809244195497786,0.7973513974683695,2.8707762816653424,0.3880269455129868,0.18938813464634796,286.97660215621045,0.25130761463056284,1.0270370106643645,279.321737928735,0.6480406005328899,0.14796023425631807,277.84429411584716,0.01037077839155165,1.3731591452945535,274.1023788638173,-0.0946080245867551,-0.38239633451391425,-0.24220204499804382,-0.15000967217825686,0.048838556595921,0.10961080220973858,0.38239633451391425,0.3244364847669978,274.1023788638173
0.6325566483697129,0.5155998262065771,0.32596351713364713,0.2540537145613898,0.9191332272963949,0.09677275957311803,437.54153895922525,1.7469831237050262,0.28432975105913344,426.43432150982284,0.8782315289777581,0.10753183692077313,387.80693769985646,2.3011918470173645,0.1444247780716034,380.61143230784626,-0.33960064457308853,-0.4440701273629166,-0.762850243649676,-0.005345489100546239,-0.12616578935862838,0.19689693985236761,0.762850243649676,1.4613849317491359,380.61143230784626
0.059275150475974786,1.2606866146567608,0.9487499494489015,0.4330206744018952,0.30998602805525866,0.19706937400662058,240.90440741616396,0.5266593001250706,1.0215520252431805,254.45384421800787,0.21867699870325413,0.20055609998966523,338.8501774156373,1.6186589640434714,0.3674505251022746,222.19579214223086,-0.21673055000944808,-0.2617285135739143,-0.5618549033749771,-0.10678266329144517,-0.3496590097461248,0.1249120254781315,0.5618549033749771,0.6684953227317637,222.19579214223086
0.5319157855399939,2.476435717349711,0.21259292644411842,2.5700536132836214,1.0851499289148194,0.0823324671425928,393.01074028490603,1.4009891167736805,0.3186286426729719,449.1326563531623,1.1764229900616572,0.07587949097785607,367.4144060719389,0.36867438921308526,0.9259815963780822,392.1769201891201,0.3487846961159161,-0.9558142626400653,-0.21257352239638966,-0.4172743912432586,-0.4525141233749399,0.24211999169183082,0.9558142626400653,1.0078091062408105,367.4144060719389
0.3644222210485654,1.7639583694083802,0.096115030317436,0.5620966028472388,0.5509291662303053,0.13986344454817884,309.47520989351995,0.5463618267247758,0.8796283800251533,293.11825572211967,1.1237813000145886,0.09043560235680537,313.9303313826807,2.0098007987516517,0.2933994166515473,282.7285548689455,-0.495368096013004,-0.6758071386001648,-0.5944090384031184,0.18868572038235448,-0.1776180392268159,0.40780869979510576,0.6758071386001648,1.0577182729303303,282.7285548689455
0.7470253686539963,0.01987890857434768,0.6479853816918213,1.8519233203056527,0.13735083308308854,0.22706548639718876,270.35039773394146,1.3340467190406256,0.4193288675244191,268.09416725292823,0.08553574552976478,0.2560574550974776,276.0729826668164,0.10357284647395004,1.225696156118345,283.1267336732108,-0.02600721474013571,-0.24478479168359546,-0.30586876643351074,-0.5229000137704958,0.19070879533954518,0.01896601374484175,0.5229000137704958,0.41512653603185723,268.09416725292823
0.19225824863595273,4.665684614022844,0.35885093174400057,4.303835386465808,1.4466689834348692,0.05664724348016586,351.1738188955282,0.7086802891379854,0.6831751179512212,363.6980395862492,1.2697812969792897,0.06822840783023047,386.5631062456024,0.6164175162912118,0.7345045027232967,351.4273782639962,-0.22407023630884,-0.901323348404212,-0.3234685948267127,0.16164180617719287,-0.13547668582511702,0.3557142440101125,0.901323348404212,1.010387021460839,351.1738188955282
0.7962474947169661,4.423453596437401,0.0451513211287765,1.5768802872680219,2.621581624404612,0.017542643786042658,398.65284865375924,1.2267602950233294,0.3968244924319474,377.6603658154399,3.2400593909637765,0.009552518257819106,455.55728768024,1.0752308462080804,0.44489900367526164,379.8139066664866,-0.5800197187554126,-0.8461304935214424,0.39081579720868015,0.5148361333885807,-0.3867993226920768,-0.5728812331316451,0.8461304935214424,2.0409080391499494,377.6603658154399
0.07190678284764464,1.114750118490538,0.4780027533185599,4.141602068096717,1.4519084414654453,0.057317134557987995,385.68278235163785,2.2564572311809927,0.1268227520857179,441.44882239883634,1.124104088051542,0.07843623748498293,381.6567884861693,0.5054099147784215,0.7526213137761228,352.912275487991,-0.268935661412928,-0.5006583922112484,-0.8214993899058814,-0.3436999895009684,0.005712396181020517,0.35566060170277536,0.8214993899058814,1.3344699188691003,352.912275487991
0.17996062796618753,0.4730987984980483,0.9015343320781084,3.1643753911666797,1.0690966924904157,0.08796313047392629,384.1886744008605,2.1684423959139485,0.1458574434721515,408.7259018894795,0.479524884079094,0.15556204685147756,341.4337540696976,0.23416645238268763,1.0263916113703906,423.5555423415666,-0.3403685705234605,-0.3686209420764655,-0.8672889036784222,-0.6169488218242838,0.33224799314304093,0.24744366668076048,0.8672889036784222,0.9878076062165364,341.4337540696976
0.4874036921014124,0.6244814070617484,0.03296092618468489,4.519597288848948,0.12270498836000149,0.2265938628752493,327.09798657392514,1.7616678619185702,0.2761644577318969,315.5853738094509,0.09968144114508773,0.25587961706694634,297.7543771342127,0.12602629735018223,1.2111306609947021,350.5147657149392,-0.2868046959331953,-0.21282796663894185,-0.286704520386054,-0.41736275529473676,0.15193447474719654,0.012982092472497278,0.41736275529473676,0.5275201471934604,297.7543771342127
0.08998239232237423,2.3727726545824144,0.6838255498097155,2.4715055524759015,1.7982214772331042,0.04059642387112729,461.9397942234699,0.47999174964498237,0.8017508937997971,428.62615857801444,0.8601125649268241,0.10477388501562876,462.43889525380564,0.5833587257856594,0.706876730085204,406.47247928819576,-0.14800539546453276,-0.7159952473240325,-0.4067884551296497,0.045214335432649966,-0.4317698275566034,0.13541234899112198,0.7159952473240325,0.9304211293976425,406.47247928819576
0.9591137770971788,3.7306485885437826,0.47042768316580325,3.113562390310913,0.371698370886484,0.18728014749657124,276.07734406435566,0.24967201694899588,1.052387413298724,285.1396170097239,0.5951317653668092,0.15139010511014933,318.28063178541447,0.01751516096403405,1.3135911204875261,302.59797608519665,-0.10414564049747649,-0.415788662382947,-0.19786072003009944,-0.21526481260851144,0.03210080829899106,0.04030424094692457,0.415788662382947,0.30850432854158083,276.07734406435566
0.9395763106195467,2.675276535848332,0.7112111296114849,0.06363650609299783,0.3628691948464122,0.1746270019661553,217.83642807792052,0.8671260255771612,0.6134105899972222,297.79856909526455,0.8283075914891291,0.13007936406954337,278.42780648222447,1.7043076503942702,0.2988925901292813,225.22716853208334,-0.1229016534287725,-0.6708410438145047,-0.8299005084187848,-0.12059206887965565,0.10605356344655938,0.4314343309519063,0.8299005084187848,0.9406526155767432,217.83642807792052
0.8947162886319941,0.9906911967537116,0.8476639640476012,3.4519620868356182,0.3779676841756948,0.19164605780609426,223.56382920322065,0.22429178936684013,1.0716181185121403,287.2346784853401,0.617326265476831,0.1526217396133893,275.0980448172693,0.018425006298511848,1.3139629899259186,246.68157576566307,-0.1880348840882845,-0.38970157221889495,-0.1830463657002095,-0.20548817085283408,-0.00469845008449004,0.05138322624633422,0.38970157221889495,0.3095026863294695,223.56382920322065
0.4013124549295362,2.629697865722342,0.9724509212502221,1.2700444598290983,0.4070055204407008,0.1829399230140758,267.9430617830127,0.22818226785932616,1.0754317055552294,269.15857443178527,0.6700375438859457,0.1406719887469443,294.2397894377224,0.012069598840022566,1.3590054089727919,284.57885051278873,-0.10113261974794202,-0.35065927910477207,-0.20466566010373935,-0.2214103384595976,-0.021660686565582822,0.07256909788795733,0.35065927910477207,0.3293237327564988,267.9430617830127
0.9071955779702688,3.6902328058087273,0.4021876139886065,2.0612332560460223,0.32823093024081335,0.1878037848407302,292.4921996948906,0.2876831130754498,1.0170123865484773,271.9402143168287,0.5340848482886675,0.1503345400729075,290.163308170952,0.05413161002634115,1.2834921302196407,248.86022321587123,0.021175451682000773,-0.888497097599628,-0.1027312846079507,-0.3872065624437407,-0.016251323837418837,0.06750959461096197,0.888497097599628,0.30103262540781794,248.86022321587123
0.33744406549672123,4.0043503201860196,0.05621746692630873,1.611657608118012,1.266901608767197,0.0685198618404528,374.83353556170476,0.5464390540525441,0.7252525347211141,369.17835761285386,2.668745826606356,0.018147872561740254,292.6983012917571,0.46312375984175547,0.8457950745186836,298.39522357200894,-0.634353130766236,-0.14785256015813342,-0.4843534572158919,-0.3987277357721103,0.7145064977763174,-0.6210342712701892,0.7145064977763174,1.236302562316963,292.6983012917571
0.44601026378890973,4.165827179560965,0.981919709950476,4.406381577485196,0.4047881055218959,0.1837503816008376,306.8276651680365,0.2328048769862039,1.0771285511137088,282.41315381950466,0.6092189443150542,0.147530251088535,325.74517610478824,0.030361176865419726,1.323242035975685,287.67697577926407,-0.10146858870003539,-0.3964776638377294,-0.12250651809320054,-0.24363531859807105,-0.05766051073944255,0.024008538704016025,0.3964776638377294,0.3192932759221434,282.41315381950466
0.028584696469126293,3.1138176886460482,0.4489376442936406,1.4235552193573133,2.129841224093217,0.035014888611829206,372.2318715337018,0.2637302984177865,1.002725773730862,265.39295883011005,1.015542857988599,0.0874648535784801,449.77408092412804,0.7860541844082863,0.6177629066395968,255.72192573408412,-0.20755878548999823,-0.21896950492654593,-0.1895739965479781,0.07785176919509272,-0.777145377165325,-0.2634238845631911,0.777145377165325,1.0487921412269723,255.72192573408412
0.29943715843893476,3.229013720981709,0.31216901498716493,4.8654013353499375,1.2997060013925197,0.06579921010974867,346.19655824887985,0.6719271825731634,0.6889694241469119,346.4932452111409,1.3258475850389002,0.06510278537250688,386.3312418670294,0.4602257329143913,0.8642934143304927,373.90965216551984,-0.1564045617039644,-0.9387355846431118,-0.3114379621363838,0.13564414078673273,-0.10212930199913642,0.362119410298932,0.9387355846431118,0.9394266254797436,346.19655824887985
0.9197333646350366,4.854491008927634,0.25461991340241286,4.798533113446808,0.22180841192011827,0.21101210955862704,261.6855994011314,0.1681318047820073,1.1880514039316774,217.02536264820466,0.2946435267175534,0.19104847927755703,257.17628950695223,0.024807445391258565,1.3459111019579235,261.9945785649199,-0.22206265633636438,-0.7521032563495904,-0.17832706666290596,-0.31991346839579554,-0.050956532796927925,0.13569100253250632,0.7521032563495904,0.17734779720273436,217.02536264820466
0.6596740412125398,1.1786969435097996,0.7820782034097029,2.0155682515439914,0.7626049717744336,0.13130360383397738,342.0496510160216,2.0945865017244354,0.15479638001645876,281.3996154676408,0.6282623649180497,0.12859275826322653,295.2119607372909,0.07204281639118326,1.253181741574152,328.56674307448674,0.5721561885811444,-0.7249447077776486,-0.21416003263660666,-0.8873804860488351,-0.17070670511191816,0.28743219559796057,0.8873804860488351,0.8893741637020255,281.3996154676408
0.3929603249610551,4.489540164103057,0.4631208814901407,2.446385390600301,0.3823862400169945,0.17652479734090384,209.59936035669944,0.45717302027697904,0.8106730483310415,277.0015166427022,0.38449911811170884,0.17024353533439196,206.7593506277556,0.10005785147110413,1.2214898299056516,253.86444876880458,0.02312324364399352,-0.9523699547558427,-0.3054717580590418,-0.07171629742671697,-0.04284275775778447,0.22274291817105413,0.9523699547558427,0.33102905746919664,206.7593506277556
0.05970225026219274,0.8614914258545568,0.275670382605938,1.7856512106316869,1.1579012985738153,0.0849492980423001,338.2789818489012,1.111439156307283,0.45639407311703956,292.5631693945196,1.1424024798686228,0.07713272244824339,351.94161835592035,0.607299112595495,0.7145493454976042,288.3643934915355,-0.008235399821362116,-0.40187190894780783,-0.729491070818591,-0.3146256907877729,-0.5090974345205329,0.384418135123104,0.729491070818591,1.004760511836304,288.3643934915355
0.47095477654298,1.5238831029679287,0.7343487603174933,1.5527717730038704,0.2957254545100428,0.18692886225393635,256.15685708035625,0.3741095569602757,0.9028962542226391,296.1447740408316,0.42321065254697965,0.1668962016279977,248.77225562650048,0.06054677623046434,1.2654389277905893,278.84468237815395,0.07877120295795213,-0.9187666018278899,-0.2675710880315029,-0.2108722525459083,-0.084374157886864,0.16448155700458886,0.9187666018278899,0.2883981100619406,248.77225562650048
0.4242725340285313,1.584325741699011,0.28206330223217413,3.8203857927652685,0.9929429241683504,0.09007325303605745,480.90161314832505,2.038882392284049,0.15823054566423916,470.7690602824662,1.2954849224156826,0.06571305347195051,475.8056293951349,0.3874879078178557,0.8652899856891036,391.99208388618393,0.5561931485675298,-0.8845170990137805,-0.5955505084933741,-0.7126766657108884,-0.3072408398079386,0.5718561544757288,0.8845170990137805,1.1786995366714843,391.99208388618393
0.23005707692210123,1.657080459353614,0.39114266225659683,1.3496346915799162,1.2037670977091661,0.07285777829099187,379.6587189350072,0.6844759956033979,0.6746324489626837,335.37603234104233,0.7230318156236647,0.11895653564577381,400.05092597952694,1.0495634392344426,0.45677846894971186,364.43592078680325,-0.20737821705657472,-0.7230674968983535,-0.5640641270393035,-0.05063160875846303,-0.5062963449489469,0.3328105085177232,0.7230674968983535,0.9152095870426679,335.37603234104233
0.13218715347809878,4.776892299313458,0.023345882846758256,2.6972256097101446,1.3081895597471378,0.07199196927743001,338.49716870262085,0.47440317607625726,0.8514454080657788,306.5264908422783,1.331168612821006,0.07176365560531132,253.81032358509435,0.9947407738339693,0.4895055175493445,316.93492243862215,-0.16725316103898505,-0.3359208450206407,-0.43391825439422294,-0.17971887945157708,-0.20600135734993785,-0.3831322185117486,0.43391825439422294,1.0271255306195926,253.81032358509435
0.2094992511611411,3.7609274776609674,0.5452155180957476,0.5528161082510779,1.5356157713451066,0.0519821487969272,465.75274300985245,0.39088032149330454,0.8739270227325255,328.38041809045865,1.075714382915872,0.08214435648613896,394.4775256199044,1.363632024014219,0.3568250995706569,345.6297697637195,0.0009436827821988779,-0.4779611927149828,-0.5699550629681506,-0.10904779246890776,-0.6665369830841237,0.12662674800209836,0.6665369830841237,1.0914606249421255,328.38041809045865
